Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.0758E-11,0.50433,0.013366,0,0,0,5623.7,7946.4,-7.1238E-08,6.2826E-07,8460.8,-100.79,1504.9,0,0,0,0,0,0,package://single-trailer-assembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/base_link.STL,,truck-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
b_front_left_linkage,0.086617,0.11414,2.0183E-07,0,0,0,4.0456,0.08279,0.04001,5.5744E-08,0.060491,-2.0885E-08,0.14004,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_linkage.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_linkage.STL,,steering linkage-2,Coordinate System2,Axis6,b_front_left_linkage_joint,revolute,0.3625,0,1.46,0,0,0,base_link,0,1,0,0,0,-0.5,0.5,,,,,,,,
b_front_left_wheel,0,0,0,0,0,0,74.191,3.0883,7.4829E-18,-1.3009E-17,2.0822,5.1605E-17,2.0822,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_left_wheel.STL,,tyre-2,Coordinate System4,Axis2,b_front_left_joint,revolute,0.2275,0,0,0,0,0,b_front_left_linkage,-1,0,0,0,0,0,0,,,,,,,,
b_front_right_linkage,-0.086617,0.11414,-2.0183E-07,0,0,0,4.0456,0.08279,-0.04001,5.5744E-08,0.060491,2.0885E-08,0.14004,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_linkage.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_linkage.STL,,steering linkage-3,Coordinate System3,Axis7,b_front_right_linkage_joint,revolute,-0.3625,0,1.46,0,0,0,base_link,0,1,0,0,0,-0.5,0.5,,,,,,,,
b_front_right_wheel,0,0,0,0,0,0,74.191,3.0883,-2.4188E-18,1.2815E-18,2.0822,-2.4029E-16,2.0822,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_front_right_wheel.STL,,tyre-4,Coordinate System5,Axis4,b_front_right_joint,revolute,-0.2275,0,0,0,0,0,b_front_right_linkage,-1,0,0,0,0,0,0,,,,,,,,
b_back_left_wheel,-1.1102E-16,0,0,0,0,0,74.191,3.0883,-6.2844E-33,-3.486E-15,2.0822,9.0609E-36,2.0822,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_left_wheel.STL,,tyre-1,Coordinate System6,Axis3,b_back_left_joint,revolute,0.6125,0,-1.17,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
b_back_right_wheel,1.1102E-16,0,0,0,0,0,74.191,3.0883,-6.2844E-33,3.486E-15,2.0822,9.0609E-36,2.0822,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/b_back_right_wheel.STL,,tyre-3,Coordinate System7,Axis5,b_back_right_joint,revolute,-0.6125,0,-1.17,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
trailer,-1.9411E-16,0.038134,0.0044215,0,0,0,2461.7,1433.5,3.3362E-14,-7.0746E-14,1743.8,1.9077,548.63,0,0,0,0,0,0,package://single-trailer-assembly/meshes/trailer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/trailer.STL,,end-trailer-1,Coordinate System8,Axis1,trailer_joint,revolute,0,0.38996,-4.5815,0,0,0,base_link,0,-1,0,0,0,-1,1,,,,,,,,
t_front_left_wheel,0,1.1102E-16,0,0,0,0,74.191,3.0883,-6.2664E-17,3.6885E-17,2.0822,-7.9244E-32,2.0822,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_left_wheel.STL,,tyre-5,Coordinate System9,Axis9,t_front_left_joint,revolute,0.6125,-0.38996,0.53575,0,0,0,trailer,1,0,0,0,0,0,0,,,,,,,,
t_front_right_wheel,0,1.1102E-16,0,0,0,0,74.191,3.0883,-7.8066E-17,-3.6885E-17,2.0822,-7.8885E-32,2.0822,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://single-trailer-assembly/meshes/t_front_right_wheel.STL,,tyre-8,Coordinate System10,Axis11,t_front_right_joint,revolute,-0.6125,-0.38996,0.53575,0,0,0,trailer,1,0,0,0,0,0,0,,,,,,,,
